Player ID,Name,Assoc,Gender,Birth year,Activity,Playing hand,Playing style,Grip,Playing_hand_numeric,Playing_style_numeric,Grip_numeric,Style_commonness
136529,BANDARA Bimandee,SRI,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
122110,BANEK Mario,CRO,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
137188,BANG Minhyeok,KOR,Male,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135483,BANJAC Katarina,SRB,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
113928,BANKOSZ Michal,POL,Male,1995.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131661,BANNIKOV Vladislav,RUS,Male,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
100895,BANNOUT Mohamed,LBN,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
114100,BANU Nikhat,IND,Female,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131977,BAO Ivy,CAN,Female,2003.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
121186,BAPTISTA Joseph,USA,Male,2000.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
100900,BARABANOV Kiryl,BLR,Male,1993.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
145668,BARABASH Oleksandr,UKR,Male,2006.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133328,BARANI Arianna,ITA,Female,2002.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
133075,BARANOVA Mariia,RUS,Female,2005.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
135635,BARANYAI Domonkos,HUN,Male,2000.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
111144,BARAVOK Katsiaryna,BLR,Female,1995.0,Active,Left-handed,Attacker,Shakehand,1,0,0,1
100915,BARBOLIN Illia,BLR,Male,1986.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
123982,BARBOSA Ariel,LUX,Female,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
131444,BARBOUR-ALEXIS Nikoli,TTO,Male,2001.0,Active,Right-handed,Attacker,Shakehand,0,0,0,0
